Task ID,Task Name,Description,Status,Priority,Due Date,Sprint,Feature Area,Tags,GitHub Repo,GitHub Branch,GitHub Commit,Demo Notes
RF-017,Confirm Sprint 2 demo scope,"Document the Sprint 2 demo outcome, separate must-have from nice-to-have features, create/import ClickUp tasks, and keep scope focused on a demoable community flow.",Ready,High,2026-07-20,Sprint 2,Planning,"sprint-2,planning,demo",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-018,Define community data model,"Define data types for comments, replies, reactions, saved items, and discussion threads. Comments must include episodeId and transcriptSegmentId and remain compatible with future Supabase tables.",Ready,High,2026-07-20,Sprint 2,Data,"sprint-2,data,community",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-019,Add comment state management,"Add isolated browser-session state for comments so new comments can be added without a page refresh and remain attached to the correct transcript segment.",Backlog,High,2026-07-21,Sprint 2,Comments,"sprint-2,comments,state",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-020,Build timestamped comment UI,"Add transcript segment comment counts, signed-in comment form, signed-out prompt, submit behavior, and rendering of new comments under the selected transcript segment.",Backlog,High,2026-07-21,Sprint 2,Comments,"sprint-2,comments,transcripts",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-021,Add replies to comments,"Allow each comment to show replies and allow signed-in listeners to add replies under the correct parent comment.",Backlog,High,2026-07-22,Sprint 2,Replies,"sprint-2,replies,discussion",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-022,Add likes and reactions,"Add a reaction or like button to comments with an updating count and tests for reaction behavior.",Backlog,Normal,2026-07-22,Sprint 2,Reactions,"sprint-2,reactions,engagement",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-023,Add saved episodes and bookmarks,"Allow signed-in listeners to save an episode and bookmark a transcript segment, then show saved state in the UI and account page.",Backlog,High,2026-07-23,Sprint 2,Saved Items,"sprint-2,saved-items,bookmarks",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-024,Create discussion board page,"Create a discussion board route linked from episode detail pages with seeded thread prompts, title, author, reply count, and related episode.",Backlog,High,2026-07-23,Sprint 2,Discussions,"sprint-2,discussion-board,threads",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-025,Add discussion thread detail view,"Add a thread detail route or panel with original prompt, replies, signed-in reply behavior or sign-in prompt, and responsive layout.",Backlog,Normal,2026-07-24,Sprint 2,Discussions,"sprint-2,thread-detail,replies",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-026,Update account page for engagement,"Update account page to show saved episodes/bookmarks count, comment or discussion activity, and meaningful empty states.",Backlog,Normal,2026-07-24,Sprint 2,Account,"sprint-2,account,saved-items",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-027,Add component tests for Sprint 2 interactions,"Add component tests for timestamped comments, signed-out prompts, replies, reactions, and saved/bookmarked state.",Backlog,High,2026-07-25,Sprint 2,Testing,"sprint-2,testing,components",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-028,Add e2e test for community demo flow,"Add e2e test that signs in, opens an episode transcript, adds a timestamped comment, reacts or replies, saves an item, and verifies discussion board navigation.",Backlog,High,2026-07-25,Sprint 2,Testing,"sprint-2,testing,e2e",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-029,Complete Sprint 2 QA pass,"Run lint, component tests, e2e tests, production build, desktop/mobile checks, and document known limitations.",Backlog,High,2026-07-26,Sprint 2,QA,"sprint-2,qa,verification",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-030,Write Sprint 2 recap,"Add Sprint 2 recap with completed community features, demo flow, test and QA results, and Sprint 3 handoff notes.",Backlog,High,2026-07-26,Sprint 2,Portfolio,"sprint-2,recap,portfolio",https://github.com/evan-ryder1/rediscovering-faith,,,
